model,link,moe,size,act_param,type,complete,instruct
Magicoder-S-DS-6.7B,https://huggingface.co/ise-uiuc/Magicoder-S-DS-6.7B,False,6.7,6.7,🔶,47.6,36.2
StarCoder2-15B-Instruct-v0.1,https://huggingface.co/bigcode/starcoder2-15b-instruct-v0.1,False,15.0,15.0,🔶,45.1,37.6
StarCoder2-3B,https://huggingface.co/bigcode/starcoder2-3b,False,3.0,3.0,🟢,21.4,
StarCoder2-7B,https://huggingface.co/bigcode/starcoder2-7b,False,7.0,7.0,🟢,27.7,
StarCoder2-15B,https://huggingface.co/bigcode/starcoder2-15b,False,15.0,15.0,🟢,38.4,
CodeQwen1.5-7B,https://huggingface.co/Qwen/CodeQwen1.5-7B,False,7.0,7.0,🟢,45.6,
CodeGemma-2B,https://huggingface.co/google/codegemma-2b,False,2.0,2.0,🟢,23.9,
CodeGemma-7B,https://huggingface.co/google/codegemma-7b,False,7.0,7.0,🟢,38.3,
CodeGemma-7B-Instruct,https://huggingface.co/google/codegemma-7b-it,False,7.0,7.0,🔶,39.3,32.3
GPT-3.5-Turbo-0125,https://openai.com/index/new-embedding-models-and-api-updates,False,,,🔶,50.6,39.1
GPT-4o-2024-05-13,https://openai.com/index/hello-gpt-4o/,False,,,🔶,61.1,51.1
GPT-4-Turbo-2024-04-09,https://openai.com/blog/new-models-and-developer-products-announced-at-devday,False,,,🔶,58.2,48.2
GPT-4-0613,https://openai.com/blog/new-models-and-developer-products-announced-at-devday,False,,,🔶,57.2,46.0
CodeLlama-7B-Base,https://huggingface.co/codellama/CodeLlama-7b-hf,False,7.0,7.0,🟢,28.7,
CodeLlama-13B-Base,https://huggingface.co/codellama/CodeLlama-13b-hf,False,13.0,13.0,🟢,32.0,
CodeLlama-7B-Instruct,https://huggingface.co/codellama/CodeLlama-7b-Instruct-hf,False,7.0,7.0,🔶,25.7,21.9
CodeLlama-13B-Instruct,https://huggingface.co/codellama/CodeLlama-13b-Instruct-hf,False,13.0,13.0,🔶,31.7,28.5
Mistral-Large-2402,https://mistral.ai/news/mistral-large/,False,,,🔶,38.3,30.0
Mistral-Small-2402,https://mistral.ai/news/mistral-large/,False,,,🔶,41.3,32.1
Mixtral-8x22B-Base,https://huggingface.co/mistralai/Mixtral-8x22B-v0.1,True,176.0,44.0,🟢,45.3,
Mixtral-8x22B-Instruct,https://huggingface.co/mistralai/Mixtral-8x22B-Instruct-v0.1,False,176.0,44.0,🔶,50.2,40.6
